codigo_dpa,nombre_parroquia,nombre_canton,nombre_provincia,centroide_lon,centroide_lat,area_km2
1830,JESUS MARIA,NARANJAL,GUAYAS,-79.52022178753333,-2.590184382679298,107.27
3370,SAN CARLOS,NARANJAL,GUAYAS,-79.46806797257686,-2.537495188604795,103.9
3740,SANTA ROSA DE FLANDES,NARANJAL,GUAYAS,-79.69325584068253,-2.633504289223096,131.5
3990,TAURA,NARANJAL,GUAYAS,-79.64043439968128,-2.4408372377923437,757.43
0185,VALLE DE LA VIRGEN,PEDRO CARBO,GUAYAS,-80.19107738035606,-1.7268351577017775,100.09
1670,SABANILLA,PEDRO CARBO,GUAYAS,-80.26401958100436,-1.9303191313770451,319.75
3975,TARIFA,SAMBORONDON,GUAYAS,-79.79926970818697,-1.9731712790296876,93.34
1350,GRAL. VERNAZA,SALITRE,GUAYAS,-79.78104289885148,-1.7697321627906213,85.13
4220,VICTORIA,SALITRE,GUAYAS,-79.72584058094252,-1.8871348963343042,81.39
1595,JUNQUILLAL,SALITRE,GUAYAS,-79.86013619584948,-1.7317153800110858,94.39
1340,GRAL. PEDRO MONTERO,YAGUACHI,GUAYAS,-79.59064854320967,-2.271962623090608,93.97
4275,YAGUACHI VIEJO / CONE,YAGUACHI,GUAYAS,-79.66997884138655,-2.1887855220449106,107.53
1915,VIRGEN DE FATIMA,YAGUACHI,GUAYAS,-79.67058406660351,-2.265249470421873,51.74
0660,CRNEL. LORENZO GARAICOA,SIMON BOLIVAR,GUAYAS,-79.374370553138,-2.067971094410849,158.1
4475,CHANTACO,LOJA,LOJA,-79.322428372334,-3.8743874041486133,23.93
0975,CHUQUIRIBAMBA,LOJA,LOJA,-79.35624979698717,-3.84196948598885,71.94
1135,EL CISNE,LOJA,LOJA,-79.45174205564487,-3.8388517693851494,108.63
1405,GUALEL,LOJA,LOJA,-79.37341074827063,-3.753248302635388,99.93
1840,JIMBILLA,LOJA,LOJA,-79.17575233999736,-3.8664247781812344,102.25
2325,MALACATOS / VALLADOLID,LOJA,LOJA,-79.23635848257751,-4.18831003286547,206.01
3555,SAN LUCAS,LOJA,LOJA,-79.2418028968044,-3.7486393590726874,157.38
4540,SAN PEDRO DE VILCABAMBA,LOJA,LOJA,-79.1753998572557,-4.225935635068353,67.08
3770,SANTIAGO,LOJA,LOJA,-79.28801969057525,-3.7967755656169473,101.91
3970,TAQUIL / MIGUEL RIOFRIO,LOJA,LOJA,-79.29188009077114,-3.920319123493141,91.97
4235,VILCABAMBA / VICTORIA,LOJA,LOJA,-79.22801123126246,-4.279630091147128,159.77
4280,YANGANA / ARSENIO CASTILLO,LOJA,LOJA,-79.18233380239559,-4.390863443315341,267.6
1780,QUINARA,LOJA,LOJA,-79.27323344148641,-4.388929895416394,148.06
0590,COLAIZACA,CALVAS,LOJA,-79.6917649621239,-4.252597251752124,192.72
1230,EL LUCERO,CALVAS,LOJA,-79.481336812459,-4.379879289022892,93.45
4150,UTUANA,CALVAS,LOJA,-79.67540291461314,-4.375226068972797,116.9
1550,SANGUILLIN,CALVAS,LOJA,-79.53212590303539,-4.4682284846516245,98.62
1200,EL TAMBO,CATAMAYO,LOJA,-79.29464248894628,-4.087606091125623,202.76
1480,GUAYQUICHUMA,CATAMAYO,LOJA,-79.5223331902705,-3.8608626786810367,105.84
3610,SAN PEDRO DE LA BENDITA,CATAMAYO,LOJA,-79.449311626592,-3.964295368120722,146.63
4455,ZAMBI,CATAMAYO,LOJA,-79.5093610598625,-3.9421168955223314,49.04
0695,CRUZPAMBA/BUSTAMANTE,CELICA,LOJA,-80.02097939208402,-4.172593347537734,26.84
3535,SAN JUAN DE POZUL,CELICA,LOJA,-80.05261897075097,-4.126128495517772,82.02
3255,SABANILLA,CELICA,LOJA,-80.14659389076516,-4.213795124698885,139.38
1495,TNTE M. RODRIGUEZ LOAYZA,CELICA,LOJA,-80.06105631643887,-4.200824778823837,34.91
