codigo_dpa,nombre_provincia,nombre_canton,nombre_parroquia
865,PICHINCHA,QUITO,CHECA
3100,PICHINCHA,QUITO,QUINCHE
1400,PICHINCHA,QUITO,GUALEA
1440,PICHINCHA,QUITO,GUANGOPOLO
1475,PICHINCHA,QUITO,GUAYLLABAMBA
2055,PICHINCHA,QUITO,LA MERCED
2265,PICHINCHA,QUITO,LLANO CHICO
2275,PICHINCHA,QUITO,LLOA
2525,PICHINCHA,QUITO,NANEGAL
2530,PICHINCHA,QUITO,NANEGALITO
2560,PICHINCHA,QUITO,NONO
2690,PICHINCHA,QUITO,PACTO
2825,PICHINCHA,QUITO,PERUCHO
2855,PICHINCHA,QUITO,PIFO
2895,PICHINCHA,QUITO,PINTAG
2925,PICHINCHA,QUITO,POMASQUI
2980,PICHINCHA,QUITO,PUELLARO
2985,PICHINCHA,QUITO,PUEMBO
3325,PICHINCHA,QUITO,SAN ANTONIO
3475,PICHINCHA,QUITO,SAN JOSE DE MINAS
3925,PICHINCHA,QUITO,TABABELA
4085,PICHINCHA,QUITO,TUMBACO
4290,PICHINCHA,QUITO,YARUQUI
4325,PICHINCHA,QUITO,ZAMBIZA
3735,PICHINCHA,CAYAMBE,STA.ROSA DE CUSUBAMBA
755,PICHINCHA,MEJIA,CUTUGLAGUA
650,PICHINCHA,MEJIA,CORNEJO ASTORGA /TANDAPI
5190,PICHINCHA,CAYAMBE,CAYAMBE
6350,PICHINCHA,SAN MIGUEL DE LOS BANCOS,S. MIGUEL DE LOS BANCOS
6415,PICHINCHA,PEDRO VICENTE MALDONADO,PEDRO VICENTE MALDONADO
6125,PICHINCHA,PUERTO QUITO,PUERTO QUITO
6510,GALAPAGOS,SAN CRISTOBAL,PTO. BAQUERIZO MORENO
7135,PICHINCHA,QUITO,CARCELEN
7160,PICHINCHA,QUITO,EL CONDADO
7145,PICHINCHA,QUITO,COCHAPAMBA
5220,PICHINCHA,QUITO,COTOCOLLAO
7220,PICHINCHA,QUITO,PONCEANO
7150,PICHINCHA,QUITO,COMITE DEL PUEBLO
7185,PICHINCHA,QUITO,KENNEDY
7245,PICHINCHA,QUITO,SAN ISIDRO DEL INCA
7180,PICHINCHA,QUITO,JIPIJAPA
7170,PICHINCHA,QUITO,IÑAQUITO
7215,PICHINCHA,QUITO,MARISCAL SUCRE
7175,PICHINCHA,QUITO,ITCHIMBIA
7195,PICHINCHA,QUITO,LA CONCEPCION
7235,PICHINCHA,QUITO,RUMIPAMBA
7130,PICHINCHA,QUITO,BELISARIO QUEVEDO
7250,PICHINCHA,QUITO,SAN JUAN
5535,PICHINCHA,QUITO,LA LIBERTAD
7140,PICHINCHA,QUITO,CENTRO HISTORICO
7225,PICHINCHA,QUITO,PUENGASI
5015,PICHINCHA,QUITO,CHIMBACALLE
5540,PICHINCHA,QUITO,LA MAGDALENA
7205,PICHINCHA,QUITO,LA FERROVIARIA
7190,PICHINCHA,QUITO,LA ARGELIA
7230,PICHINCHA,QUITO,QUITUMBE
7260,PICHINCHA,QUITO,TURUBAMBA
7165,PICHINCHA,QUITO,GUAMANI
7200,PICHINCHA,QUITO,LA ECUATORIANA
5260,PICHINCHA,QUITO,CHILLOGALLO
7255,PICHINCHA,QUITO,SOLANDA
7210,PICHINCHA,QUITO,LA MENA
7240,PICHINCHA,QUITO,SAN BARTOLO
6600,PICHINCHA,RUMIÑAHUI,SAN RAFAEL
6605,PICHINCHA,RUMIÑAHUI,SAN PEDRO DE TABOADA
7535,PICHINCHA,RUMIÑAHUI,FAJARDO
5495,PICHINCHA,CAYAMBE,JUAN MONTALVO
7155,PICHINCHA,QUITO,CHILIBULO
6780,IMBABURA,IBARRA,LA DOLOROSA DEL PRIORATO
2455,CARCHI,BOLIVAR,MONTEOLIVO
6520,CARCHI,BOLIVAR,BOLIVAR
5405,CARCHI,MONTUFAR,GONZALEZ SUAREZ
5415,CARCHI,TULCAN,GONZALEZ SUAREZ
6250,CARCHI,ESPEJO,27 DE SEPTIEMBRE
6165,CARCHI,TULCAN,TULCAN
3800,IMBABURA,COTACACHI,6 DE JULIO CUELLAJE
425,IMBABURA,URCUQUI,CAHUASQUI
2060,IMBABURA,URCUQUI,LA MERCED DE BUENOS AIRES
2675,IMBABURA,URCUQUI,PABLO ARENAS
3365,IMBABURA,URCUQUI,SAN BLAS
4080,IMBABURA,URCUQUI,TUMBABIRO
6190,IMBABURA,URCUQUI,URCUQUI
5025,IMBABURA,ANTONIO ANTE,ANDRADE MARIN/LOURDES
5165,IMBABURA,IBARRA,CARANQUI
5915,IMBABURA,IBARRA,SAGRARIO
5440,IMBABURA,IBARRA,GUAYAQUIL DE ALPACHACA
5955,IMBABURA,COTACACHI,SAN FRANCISCO
5910,IMBABURA,COTACACHI,SAGRARIO
5490,IMBABURA,OTAVALO,JORDAN
5750,IMBABURA,PIMAMPIRO,PIMAMPIRO
6160,NAPO,TENA,TENA
5510,NAPO,EL CHACO,EL CHACO
5070,NAPO,ARCHIDONA,ARCHIDONA
6760,NAPO,C.J. AROSEMENA TOLA,CARLOS J. AROSEMENA
450,ESMERALDAS,ESMERALDAS,CAMARONES
655,ESMERALDAS,ESMERALDAS,CRNL.CARLOS CONCHA TORRES
895,ESMERALDAS,ESMERALDAS,CHINCA
2320,ESMERALDAS,ESMERALDAS,MAJUA
3570,ESMERALDAS,ESMERALDAS,SAN MATEO
3930,ESMERALDAS,ESMERALDAS,TABIAZO
3940,ESMERALDAS,ESMERALDAS,TACHINA
4240,ESMERALDAS,ESMERALDAS,VUELTA LARGA
930,ESMERALDAS,RIO VERDE,CHONTADURO
965,ESMERALDAS,RIO VERDE,CHUMUNDE
2035,ESMERALDAS,RIO VERDE,LAGARTO
2445,ESMERALDAS,RIO VERDE,MONTALVO / HORQUETA
3215,ESMERALDAS,RIO VERDE,ROCAFUERTE
5335,ESMERALDAS,ESMERALDAS,ESMERALDAS
